query_name,gbif_name,iucn_assessment_year,iucn_redlist_category,AOO.range,AOO_assessment,AOO_assessment_cat,EOO.range,EOO_assessment,EOO_assessment_cat,NOP,GBIF_points_in_NA,MER,AOOkm2,AOOcat,EOOkm2,EOOcat,EOOkm2_manual,EOO_manual_cat,EOOkm2_clipped,EOO_clipped_cat,NOP_old,MER_old,AOOkm2_old,AOOcat_old,EOOkm2_old,EOOcat_old,EOOkm2_manual_old,EOO_manual_old_cat,EOOkm2_clipped_old,EOO_clipped_old_cat,NOP_recent,MER_recent,AOOkm2_recent,AOOcat_recent,EOOkm2_recent,EOOcat_recent,EOOkm2_manual_recent,EOO_manual_recent_cat,EOOkm2_clipped_recent,EOO_clipped_recent_cat
Agave lechuguilla,Agave lechuguilla,2018,Least Concern,NA,NA,NA,NA,NA,NA,218,Yes,1118520.384,676,VU,474605.3033,LC,478603.5113,LC,478603.5113,LC,26,983778.3667,60,EN,297521.4847,LC,269116.6778,LC,269116.6778,LC,192,987572.941,624,VU,437304.3904,LC,441496.0717,LC,441496.0717,LC
Agave mckelveyana,Agave mckelveyana,2018,Near Threatened,NA,NA,NA,10363,10363,VU,9,Yes,135578.365,20,EN,10280.90217,VU,9863.502095,VU,9863.502095,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,135578.365,20,EN,10280.90217,VU,9863.502095,VU,9863.502095,VU
Agave palmeri,Agave palmeri,2018,Least Concern,NA,NA,NA,310608,310608,LC,214,Yes,115999.0245,424,EN,62926.23593,LC,63040.08556,LC,63040.08556,LC,4,6441.349073,12,EN,519.5398813,EN,519.198144,EN,519.198144,EN,210,115999.0245,396,EN,62926.23593,LC,63040.08556,LC,63040.08556,LC
Agave parryi,Agave parryi,2018,Least Concern,NA,NA,NA,NA,NA,NA,144,Yes,38787642.26,392,EN,11493145.68,LC,10373168.56,LC,3698175.603,LC,6,190129.9997,24,EN,96381.05243,LC,96164.43201,LC,96164.43201,LC,138,38787642.26,372,EN,11493145.68,LC,10373168.56,LC,3698175.603,LC
Agave parviflora,Agave parviflora,2020,Least Concern,NA,NA,NA,NA,NA,NA,9,Yes,84875.55804,36,EN,23796.06236,NT,23580.20749,NT,23580.20749,NT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,84875.55804,36,EN,23796.06236,NT,23580.20749,NT,23580.20749,NT
Agave schottii,Agave schottii,2018,Least Concern,NA,NA,NA,NA,NA,NA,23,Yes,24193.17913,76,EN,9458.757367,VU,9489.541891,VU,9489.541891,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,24193.17913,76,EN,9458.757367,VU,9489.541891,VU,9489.541891,VU
Agave shawii,Agave shawii,2018,Least Concern,NA,NA,NA,NA,NA,NA,130,Yes,617591.6458,196,EN,148126.7804,LC,158594.1795,LC,105573.2782,LC,5,598441.3523,20,EN,63456.71913,LC,69909.8836,LC,48531.52265,LC,125,179853.8938,188,EN,35051.60326,LC,37500.96825,LC,35704.91161,LC
Agave toumeyana,Agave toumeyana,2018,Least Concern,NA,NA,NA,15512,15512,VU,8,Yes,2833.4453,28,EN,1269.834192,EN,1270.868554,EN,1270.868554,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2833.4453,28,EN,1269.834192,EN,1270.868554,EN,1270.868554,EN
Agave univittata,Agave univittata,2018,Least Concern,NA,NA,NA,NA,NA,NA,24,Yes,87349.6365,84,EN,46265.06576,LC,47625.3467,LC,47625.3467,LC,1,0,4,CR,0,CR,0,CR,0,CR,23,87349.6365,80,EN,46265.06576,LC,47625.3467,LC,47625.3467,LC
Agave utahensis,Agave utahensis,2019,Least Concern,NA,NA,NA,NA,NA,NA,171,Yes,97009.50375,336,EN,65759.72013,LC,65963.6158,LC,65963.6158,LC,6,10133.34007,24,EN,2613.433887,EN,2623.727654,EN,2623.727654,EN,165,97009.50375,304,EN,65759.72013,LC,65963.6158,LC,65963.6158,LC
Agrostis canina,Agrostis canina,2013,Least Concern,NA,NA,NA,NA,NA,NA,35465,No,14338891.97,48040,LC,8088019.431,LC,7854383.852,LC,5809104.776,LC,1722,7552074.555,3040,LC,4633832.638,LC,4528737.721,LC,3393913.798,LC,33743,14338891.97,47008,LC,8088019.431,LC,7854383.852,LC,5809104.776,LC
Agrostis clavata,Agrostis clavata,2015,Least Concern,NA,NA,NA,NA,NA,NA,407,No,47693546.62,1048,VU,18812754.94,LC,17480977.16,LC,15285267.24,LC,358,47543643.57,908,VU,18393120.08,LC,16814931.83,LC,15068284.67,LC,49,29777217.93,140,EN,4181706.883,LC,3958369.369,LC,3475264.257,LC
Agrostis perennans,Agrostis perennans,2015,Least Concern,NA,NA,NA,NA,NA,NA,30,Yes,13736137.7,44,EN,4396851.01,LC,2930229.168,LC,2571916.513,LC,6,879.8743742,12,EN,417.9162332,EN,420.6988423,EN,420.6988423,EN,24,13736137.7,32,EN,4396851.01,LC,2335857.065,LC,2079994.981,LC
Agrostis stolonifera,Agrostis stolonifera,2013,Least Concern,NA,NA,NA,NA,NA,NA,5077,No,172947585.3,8904,LC,40167681.1,LC,38751385.1,LC,18133853.6,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5077,172947585.3,8904,LC,40167681.1,LC,38751385.1,LC,18133853.6,LC
Aldrovanda vesiculosa,Aldrovanda vesiculosa,2019,Endangered,244,244,EN,114232825,114232825,LC,137,No,155028780.6,232,EN,118849829.9,LC,111979715.1,LC,63143436.83,LC,91,144904698.6,180,EN,67758082.78,LC,70153278.8,LC,33429027.74,LC,46,136031310.7,48,EN,105118522.3,LC,97639409.56,LC,53248411.94,LC
Aleurites moluccanus,Aleurites moluccanus,2017,Least Concern,NA,NA,NA,NA,NA,NA,80,Yes,166237712.8,276,EN,119213979.2,LC,206659143.5,LC,61571158.43,LC,43,120811749.2,148,EN,69862428.43,LC,153581619.1,LC,46972210.25,LC,37,256215948.8,128,EN,139751356.2,LC,204911212,LC,61366397.1,LC
Alisma plantago-aquatica,Alisma plantago-aquatica,2016,Least Concern,NA,NA,NA,20000000,20000000,LC,39337,No,214545926.4,61932,LC,174871725.2,LC,149902464.3,LC,78637803.57,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39337,214545926.4,61932,LC,174871725.2,LC,149902464.3,LC,78637803.57,LC
Alisma subcordatum,Alisma subcordatum,2015,Least Concern,NA,NA,NA,NA,NA,NA,15,Yes,1994608.392,56,EN,1241101.416,LC,1245034.994,LC,1245034.994,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1994608.392,56,EN,1241101.416,LC,1245034.994,LC,1245034.994,LC
Alisma triviale,Alisma triviale,2015,Least Concern,NA,NA,NA,NA,NA,NA,32,Yes,8182317.154,120,EN,4187328.169,LC,4155151.478,LC,4142999.985,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,8182317.154,120,EN,4187328.169,LC,4155151.478,LC,4142999.985,LC
Allium geyeri,Allium geyeri,2015,Least Concern,NA,NA,NA,NA,NA,NA,9,Yes,1646655.736,36,EN,801004.4257,LC,732842.7044,LC,732842.7044,LC,2,44784.50848,8,CR,0,CR,0,CR,0,CR,7,289141.7094,28,EN,94052.78315,LC,94022.2577,LC,94022.2577,LC
Allium schoenoprasum,Allium schoenoprasum,2013,Least Concern,NA,NA,NA,7390053,7390053,LC,14663,Yes,360564642.4,25436,LC,183736173.4,LC,156162906.5,LC,85623530.39,LC,9300,319384616.2,18236,LC,167140663.4,LC,143885409.6,LC,78121862.01,LC,5363,67082323.45,9140,LC,49003220.92,LC,48227513.19,LC,30293696.3,LC
Allium triquetrum,Allium triquetrum,2015,Least Concern,NA,NA,NA,NA,NA,NA,3577,Yes,334181245.1,6444,LC,198830140.2,LC,186671746.4,LC,67139752.26,LC,1421,190337082.6,2996,NT,35745698.17,LC,40190559.98,LC,17713836.36,LC,2156,334181245.1,4136,LC,198830140.2,LC,186671746.4,LC,67139752.26,LC
Allium validum,Allium validum,2015,Least Concern,NA,NA,NA,NA,NA,NA,19,Yes,284188.5265,72,EN,44340.08817,LC,42338.97135,LC,42338.97135,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,284188.5265,72,EN,44340.08817,LC,42338.97135,LC,42338.97135,LC
Alnus alnobetula,Alnus alnobetula,2015,Least Concern,NA,NA,NA,NA,NA,NA,15733,Yes,373008918.4,3952,LC,190088921.7,LC,161646087.2,LC,89891846.44,LC,11752,61067244.39,2296,NT,36328210.63,LC,37512275.25,LC,25252413.26,LC,3981,371592479.5,2344,NT,188631254.5,LC,160155409.1,LC,88840078.11,LC
Alnus glutinosa,Alnus glutinosa,2014,Least Concern,NA,NA,NA,NA,NA,NA,3913,Yes,282049217.8,8964,LC,79670587.96,LC,71145532.36,LC,32767714.08,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3913,282049217.8,8964,LC,79670587.96,LC,71145532.36,LC,32767714.08,LC
Alnus incana,Alnus incana,2014,Least Concern,NA,NA,NA,NA,NA,NA,26697,Yes,52657285.76,58052,LC,30047947.53,LC,31320218.85,LC,16925787.02,LC,1910,12004243.86,5456,LC,6163579.658,LC,5691668.245,LC,4641730.655,LC,24787,52657285.76,54004,LC,30047947.53,LC,31320218.85,LC,16925787.02,LC
Alnus maritima,Alnus maritima,2014,Endangered,394,394,EN,400000,400000,LC,4,Yes,1252.06279,16,EN,392.1746075,EN,393.2317132,EN,393.2317132,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1252.06279,16,EN,392.1746075,EN,393.2317132,EN,393.2317132,EN
Alnus nepalensis,Alnus nepalensis,2014,Least Concern,NA,NA,NA,NA,NA,NA,7,No,46818.56881,24,EN,13607.69259,VU,13639.73232,VU,13639.73232,VU,1,0,4,CR,0,CR,0,CR,0,CR,6,249.8499703,20,EN,61.83450177,CR,62.10594801,CR,62.10594801,CR
Alnus rhombifolia,Alnus rhombifolia,2013,Least Concern,NA,NA,NA,NA,NA,NA,30,Yes,722189.4959,104,EN,353708.3809,LC,409518.4056,LC,409456.7469,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,722189.4959,104,EN,353708.3809,LC,409518.4056,LC,409456.7469,LC
