query_name,recordType,elementGlobalId,scientificName,primaryCommonName,classificationStatus,roundedGRank,gRank
Pinus echinata,SPECIES,156332,Pinus echinata,Shortleaf Pine,Standard,G5,G5
Pinus edulis,SPECIES,156774,Pinus edulis,Two-needle Pinyon Pine,Standard,G5,G5
Pinus elliottii,SPECIES,148214,Pinus elliottii,Slash Pine,Standard,G5,G5
Pinus engelmannii,SPECIES,145943,Pinus engelmannii,Engelmann Pine,Standard,G4,G4G5
Pinus flexilis,SPECIES,140758,Pinus flexilis,Limber Pine,Standard,G4,G4
Pinus glabra,SPECIES,137407,Pinus glabra,Spruce Pine,Standard,G5,G5?
Pinus jeffreyi,SPECIES,127906,Pinus jeffreyi,Jeffrey's Pine,Standard,G5,G5
Pinus lambertiana,SPECIES,161150,Pinus lambertiana,Sugar Pine,Standard,G5,G5
Pinus leiophylla,SPECIES,145830,Pinus leiophylla,Chihuahuan Pine,Standard,G5,G5
Pinus longaeva,SPECIES,137730,Pinus longaeva,Bristlecone Pine,Standard,G4,G4
Pinus monophylla,SPECIES,152059,Pinus monophylla,Single-leaf Pine,Standard,G5,G5
Pinus monticola,SPECIES,136952,Pinus monticola,Western White Pine,Standard,G4,G4G5
Pinus muricata,SPECIES,146943,Pinus muricata,Bishop Pine,Standard,G5,G5
Pinus palustris,SPECIES,152746,Pinus palustris,Longleaf Pine,Standard,G5,G5
Pinus ponderosa,SPECIES,137495,Pinus ponderosa,Ponderosa Pine,Standard,G5,G5
Pinus pungens,SPECIES,131783,Pinus pungens,Table Mountain Pine,Standard,G4,G4
Pinus radiata,SPECIES,147411,Pinus radiata,Monterey Pine,Standard,G1,G1
Pinus resinosa,SPECIES,151468,Pinus resinosa,Red Pine,Standard,G5,G5
Pinus rigida,SPECIES,161753,Pinus rigida,Pitch Pine,Standard,G5,G5
Pinus sabiniana,SPECIES,133005,Pinus sabiniana,California Foothill Pine,Standard,G4,G4
Pinus serotina,SPECIES,147377,Pinus serotina,Pond Pine,Standard,G5,G5
Pinus strobiformis,SPECIES,153551,Pinus strobiformis,Southwestern White Pine,Standard,G5,G5?
Pinus strobus,SPECIES,161641,Pinus strobus,Eastern White Pine,Standard,G5,G5
Pinus taeda,SPECIES,155267,Pinus taeda,Loblolly Pine,Standard,G5,G5
Pinus torreyana,SPECIES,147567,Pinus torreyana,Torrey Pine,Standard,G1,G1
