scientificName,gbif_name,iucn_assessment_year,iucn_redlist_category,AOO.range,AOO_assessment,AOO_assessment_cat,EOO.range,EOO_assessment,EOO_assessment_cat,NOP,GBIF_points_in_NA,MER,AOOkm2,AOOcat,EOOkm2,EOOcat,EOOkm2_manual,EOO_manual_cat,EOOkm2_clipped,EOO_clipped_cat,NOP_old,MER_old,AOOkm2_old,AOOcat_old,EOOkm2_old,EOOcat_old,EOOkm2_manual_old,EOO_manual_old_cat,EOOkm2_clipped_old,EOO_clipped_old_cat,NOP_recent,MER_recent,AOOkm2_recent,AOOcat_recent,EOOkm2_recent,EOOcat_recent,EOOkm2_manual_recent,EOO_manual_recent_cat,EOOkm2_clipped_recent,EOO_clipped_recent_cat,overClassified,underClassified,correctlyClassified,redlistCriteria,B1_binary,B2_binary,5,8,NA,11,7,2,1,9,4,6,3,10,12,Tree,Shrub,Succulent,Graminoid,Forb or Herb,Annual,Geophyte,Moss/Hydrophyte,Vines/Epiphyte/Lithophyte,Fern,EOOcat_long
Pinus balfouriana,Pinus balfouriana,2011,Near Threatened,136,136,EN,73569,73569,LC,10,Yes,200239.555850051,36,EN,12569.3215558307,VU,11794.577639398498,VU,11794.577639398498,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,200239.555850051,36,EN,12569.3215558307,VU,11794.577639398498,VU,11794.577639398498,VU,1,0,0,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Vulnerable
Pinus coulteri,Pinus coulteri,2011,Near Threatened,816,816,VU,122863,122863,LC,14,Yes,15581042.1490572,52,EN,3966757.84059261,LC,3793169.468749186,LC,2100176.6554171997,LC,4,21177.4189647786,12,EN,1977.13549135889,EN,1981.9857752768296,EN,1981.9857752768296,EN,10,270218.260091156,40,EN,59887.5425993344,LC,61247.229212052305,LC,61247.229212052305,LC,0,1,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Pinus monticola,Pinus monticola,2011,Near Threatened,NA,NA,NA,NA,NA,NA,15,Yes,17613340.6059209,40,EN,9865699.4951016,LC,9717857.24026128,LC,5652888.345797363,LC,2,4085249.89555977,8,CR,0,CR,0,CR,0,CR,13,17613340.6059209,32,EN,6900477.3012103,LC,6269243.3453179775,LC,4552228.489006827,LC,0,1,0,NA,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Pinus muricata,Pinus muricata,2011,Vulnerable,650,650,VU,113753,113753,LC,25,No,191692382.620081,52,EN,47257779.6411178,LC,74814028.56323366,LC,30904012.487230457,LC,16,131836.506717605,28,EN,56441.5926772461,LC,55614.19493410284,LC,52301.280242917936,LC,9,182160813.307704,24,EN,44670845.1955963,LC,69574217.38595337,LC,28834934.834650353,LC,0,1,0,B2ab(iii),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Least Concern
Pinus palustris,Pinus palustris,2011,Endangered,NA,NA,NA,NA,NA,NA,31,Yes,1481814.77981346,100,EN,724597.459442516,LC,726466.6857530312,LC,515500.1451235481,LC,1,0,4,CR,0,CR,0,CR,0,CR,30,1481814.77981346,100,EN,724597.459442516,LC,726466.6857530312,LC,515500.1451235481,LC,0,1,0,A2cde,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Pinus radiata,Pinus radiata,2011,Endangered,30,30,EN,116144,116144,LC,21148,Yes,302706264.680973,17180,LC,201481325.178936,LC,186686435.1840498,LC,65055683.37906636,LC,3267,204919000.46316,7744,LC,41476681.9736227,LC,41360565.18328181,LC,16116517.173113637,LC,17881,276013895.608554,10728,LC,191802409.934842,LC,185792537.74427733,LC,65026844.94671185,LC,0,1,0,"B2ab(ii,iii,v)",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Pinus torreyana,Pinus torreyana,2011,Critically Endangered,1-8,1,CR,NA,NA,NA,11,Yes,36271.9563160039,20,EN,4427.5761102157,EN,4383.148593661856,EN,21.445000846288167,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,36271.9563160039,20,EN,4427.5761102157,EN,4383.148593661856,EN,21.445000846288167,CR,0,1,0,"B2ab(ii,iii,v)",0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Endangered
Platanthera chapmanii,Platanthera chapmanii,2014,Vulnerable,NA,NA,NA,45000,45000,LC,6,Yes,263.752107214434,24,EN,187.252400004049,EN,187.8053517995104,EN,187.8053517995104,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,263.752107214434,24,EN,187.252400004049,EN,187.8053517995104,EN,187.8053517995104,EN,1,0,0,D1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Endangered
Platanthera integrilabia,Platanthera integrilabia,2014,Near Threatened,300,300,EN,109000,109000,LC,4,Yes,32156.3713355009,16,EN,2607.47551960239,EN,2655.5205206038663,EN,2655.5205206038663,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,32156.3713355009,16,EN,2607.47551960239,EN,2655.5205206038663,EN,2655.5205206038663,EN,1,0,0,NA,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Endangered
Pseudotsuga macrocarpa,Pseudotsuga macrocarpa,2011,Near Threatened,315,315,EN,22791,22791,NT,20,Yes,27060.6087564435,72,EN,9724.16697269949,VU,9678.695245122362,VU,9678.695245122362,VU,1,0,4,CR,0,CR,0,CR,0,CR,19,8966.68144583251,68,EN,4048.27248081937,EN,4058.5361671314968,EN,4058.5361671314968,EN,1,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Vulnerable
Quercus arkansana,Quercus arkansana,2017,Vulnerable,1004-1400,1004,VU,345065,345065,LC,7,Yes,259220.473545437,28,EN,147033.337036788,LC,147639.73614435992,LC,147639.73614435992,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,259220.473545437,28,EN,147033.337036788,LC,147639.73614435992,LC,147639.73614435992,LC,0,1,0,"B2ab(ii,iii,v)",0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Quercus austrina,Quercus austrina,2016,Vulnerable,1500,1500,VU,375000,375000,LC,3,Yes,1594648.2607050801,12,EN,451257.811897259,LC,463804.11868947744,LC,455574.0725398466,LC,1,0,4,CR,0,CR,0,CR,0,CR,2,177396.055461678,8,CR,0,CR,0,CR,0,CR,0,1,0,"B2ab(ii,iv,v)",0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Quercus dumosa,Quercus dumosa,2016,Endangered,620,620,VU,12500,12500,VU,6,Yes,39082.5544408181,24,EN,3575.33925929932,EN,3516.017244963412,EN,3193.850647311163,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,39082.5544408181,24,EN,3575.33925929932,EN,3516.017244963412,EN,3193.850647311163,EN,0,0,1,"B2ab(ii,iii,iv,v)",0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Endangered
Quercus engelmannii,Quercus engelmannii,2016,Endangered,1220,1220,VU,18800,18800,VU,30,Yes,24957.3840420232,76,EN,5303.49077513867,VU,5347.0549755522225,VU,5347.0549755522225,VU,1,0,4,CR,0,CR,0,CR,0,CR,29,24957.3840420232,68,EN,4955.19864509515,EN,5001.675491163303,VU,5001.675491163303,VU,0,1,0,A3c,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Vulnerable
Quercus georgiana,Quercus georgiana,2015,Endangered,72-272,72,EN,16570-21600,16570,VU,5,Yes,372.396914078209,20,EN,135.416709724976,EN,135.70960959616878,EN,135.70960959616878,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,372.396914078209,20,EN,135.416709724976,EN,135.70960959616878,EN,135.70960959616878,EN,0,0,1,"B2ab(i,ii,iii,iv,v)",0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Endangered
Quercus havardii,Quercus havardii,2016,Endangered,NA,NA,NA,389560,389560,LC,55,Yes,1009212.69553899,172,EN,464905.000019316,LC,463993.53473087214,LC,463993.53473087214,LC,36,232234.753465103,116,EN,137400.480830579,LC,138217.53782621678,LC,138217.53782621678,LC,19,719012.207542345,64,EN,208437.850077306,LC,212686.35998106023,LC,212686.35998106023,LC,0,1,0,A2bc,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Least Concern
