scientificName,gbif_name,iucn_assessment_year,iucn_redlist_category,AOO.range,AOO_assessment,AOO_assessment_cat,EOO.range,EOO_assessment,EOO_assessment_cat,NOP,GBIF_points_in_NA,MER,AOOkm2,AOOcat,EOOkm2,EOOcat,EOOkm2_manual,EOO_manual_cat,EOOkm2_clipped,EOO_clipped_cat,NOP_old,MER_old,AOOkm2_old,AOOcat_old,EOOkm2_old,EOOcat_old,EOOkm2_manual_old,EOO_manual_old_cat,EOOkm2_clipped_old,EOO_clipped_old_cat,NOP_recent,MER_recent,AOOkm2_recent,AOOcat_recent,EOOkm2_recent,EOOcat_recent,EOOkm2_manual_recent,EOO_manual_recent_cat,EOOkm2_clipped_recent,EOO_clipped_recent_cat,overClassified,underClassified,correctlyClassified,5,8,"NA",11,7,2,1,9,4,6,3,10,12,Tree,Shrub,Succulent,Graminoid,Forb or Herb,Annual,Geophyte,Moss/Hydrophyte,Vines/Epiphyte/Lithophyte,Fern,EOOcat_long
Acacia auriculiformis,Acacia auriculiformis,2010,Least Concern,NA,NA,NA,NA,NA,NA,1361,Yes,98944607.7531942,3116,LC,65157068.0758693,LC,81985201.73606995,LC,27966448.33811161,LC,579,70319495.1967088,1368,VU,34700518.4140437,LC,34822900.315767534,LC,9953636.688408593,LC,782,93223161.7501591,1792,VU,56839802.4643055,LC,53254578.69930573,LC,15740527.134674352,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Least Concern
Acacia confusa,Acacia confusa,2018,Least Concern,552.00,552,VU,73568.87,73568.87,LC,32,Yes,6106088.91913252,120,EN,2588164.14222319,LC,8131742.368182801,LC,4274804.067966495,LC,12,3795319.34672242,48,EN,1177004.62140296,LC,3074977.2314644502,LC,2052708.9689873639,LC,20,5748658.48663196,72,EN,2471618.17948668,LC,8131742.368182801,LC,4274804.067966495,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Acacia koa,Acacia koa,2010,Least Concern,NA,NA,NA,NA,NA,NA,10,Yes,149069.506180405,36,EN,35531.1989798467,LC,34655.75041271822,LC,8899.57104826031,VU,3,126168.761405668,12,EN,4012.80765274197,EN,3880.649163167225,EN,1022.0884011085318,EN,7,148562.260264016,28,EN,34914.730266321,LC,33933.247455010016,LC,8647.668164476949,VU,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Acaciella angustissima,Acaciella angustissima,2018,Least Concern,8748.00,8748,LC,15695848.45,15695848.45,LC,126,Yes,134593043.277998,352,EN,78230940.7825045,LC,93286123.04487507,LC,34643375.42477546,LC,23,119375220.987111,56,EN,60350843.1375605,LC,77147778.54703782,LC,28874530.472240906,LC,103,86998530.4389735,296,EN,31817650.0973219,LC,42044941.49900816,LC,13836814.532069605,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Least Concern
Acanthocereus tetragonus,Acanthocereus tetragonus,2006,Least Concern,NA,NA,NA,NA,NA,NA,14,Yes,75889398.7478083,40,EN,14639475.2909993,LC,23441809.113535803,LC,6278155.043185644,LC,3,34213.731037298,12,EN,15384.2959150488,VU,15438.836445633351,VU,15438.836445633351,VU,11,74442289.9997255,36,EN,13766539.6630743,LC,21086302.40121916,LC,5366454.513663618,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Least Concern
Acer circinatum,Acer circinatum,2017,Least Concern,NA,NA,NA,318000,318000,LC,225,Yes,16015467.2693303,632,VU,6453624.91698491,LC,6212242.914242493,LC,4049552.1774703623,LC,10,9072657.67564619,36,EN,1532512.08404802,LC,1407836.517026797,LC,1071198.8489877218,LC,215,12221006.2633773,604,VU,4870576.09563397,LC,4533079.851287212,LC,3344455.767450662,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Least Concern
Acer glabrum,Acer glabrum,2017,Least Concern,NA,NA,NA,NA,NA,NA,133,Yes,6902298.38505759,468,EN,2908710.9653402,LC,2737478.964155683,LC,2609757.156373549,LC,7,1202644.03863604,28,EN,914968.299836901,LC,907830.6408215794,LC,907830.6408215794,LC,126,6902298.38505759,444,EN,2900671.62558137,LC,2726002.726847745,LC,2598280.919065611,LC,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Least Concern
Acer grandidentatum,Acer grandidentatum,2017,Least Concern,NA,NA,NA,NA,NA,NA,97,Yes,2784914.06694918,248,EN,1228388.86833853,LC,1297008.641192976,LC,1297008.641192976,LC,7,1033587.95759634,28,EN,229841.09234566,LC,251596.1219421476,LC,251596.1219421476,LC,90,2777082.48933127,212,EN,1226246.07319125,LC,1295332.44877449,LC,1295332.44877449,LC,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Least Concern
Acer leucoderme,Acer leucoderme,2017,Least Concern,NA,NA,NA,NA,NA,NA,6,Yes,308211.506999952,24,EN,137798.560433904,LC,137752.08892487595,LC,137752.08892487595,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,308211.506999952,24,EN,137798.560433904,LC,137752.08892487595,LC,137752.08892487595,LC,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Least Concern
Acer macrophyllum,Acer macrophyllum,2017,Least Concern,NA,NA,NA,NA,NA,NA,908,Yes,28023522.0618705,2228,NT,13251703.2955177,LC,12432460.364006063,LC,8039239.166892015,LC,23,24553386.9149245,84,EN,11563127.0636946,LC,11064377.167074356,LC,7265963.319678734,LC,885,27447501.0224304,2160,NT,12973832.3689743,LC,12115360.311719062,LC,7935934.972832166,LC,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
