assessmentId,internalTaxonId,scientificName,code,name
19996730,19892219,Acacia aneura,T,Tree - size unknown
19996730,19892219,Acacia aneura,SL,Shrub - large
19997222,19891902,Acacia auriculiformis,T,Tree - size unknown
19997222,19891902,Acacia auriculiformis,S,Shrub - size unknown
19999145,19891713,Acacia koa,T,Tree - size unknown
20005262,19892228,Amorpha californica,A,Annual
20005262,19892228,Amorpha californica,S,Shrub - size unknown
20005262,19892228,Amorpha californica,S,Shrub - size unknown
20005638,19893100,Amorpha crenulata,SL,Shrub - large
20005828,19891556,Amorpha ouachitensis,S,Shrub - size unknown
20008399,19892777,Astragalus altus,F,Forb or Herb
20009751,19891964,Astragalus calycosus,F,Forb or Herb
20010100,19892208,Astragalus castetteri,F,Forb or Herb
20010462,19892240,Astragalus cobrensis,F,Forb or Herb
20010808,19892442,Astragalus coltonii,F,Forb or Herb
20011546,19892983,Astragalus cottamii,F,Forb or Herb
20011898,19891488,Astragalus crassicarpus,F,Forb or Herb
20012267,19893114,Astragalus crotalariae,F,Forb or Herb
20012561,19892382,Astragalus didymocarpus,A,Annual
20012561,19892382,Astragalus didymocarpus,F,Forb or Herb
20013070,19892581,Astragalus ensiformis,F,Forb or Herb
20013454,19892709,Astragalus flexuosus,F,Forb or Herb
20013949,19892516,Astragalus geyeri,A,Annual
20014315,19892548,Astragalus harrisonii,F,Forb or Herb
20014804,19892575,Astragalus inyoensis,F,Forb or Herb
20015322,19891930,Astragalus kolymensis,F,Forb or Herb
20015782,19892168,Astragalus lentiginosus,A,Annual
20015782,19892168,Astragalus lentiginosus,F,Forb or Herb
20015782,19892168,Astragalus lentiginosus,F,Forb or Herb
20015782,19892168,Astragalus lentiginosus,F,Forb or Herb
20015782,19892168,Astragalus lentiginosus,F,Forb or Herb
20016264,19893094,Astragalus leucolobus,F,Forb or Herb
20016771,19891567,Astragalus piutensis,S,Shrub - size unknown
20016771,19891567,Astragalus piutensis,F,Forb or Herb
20016896,19893117,Astragalus miser,F,Forb or Herb
20017256,19892003,Astragalus mollissimus,F,Forb or Herb
20017606,19891799,Astragalus molybdenus,F,Forb or Herb
20017957,19892274,Astragalus nuttallianus,A,Annual
20017957,19892274,Astragalus nuttallianus,F,Forb or Herb
20018307,19892057,Astragalus oophorus,F,Forb or Herb
20018770,19892692,Astragalus pachypus,F,Forb or Herb
20019919,19892093,Astragalus pubentissimus,A,Annual
20019919,19892093,Astragalus pubentissimus,F,Forb or Herb
20021163,19892102,Astragalus sinuatus,F,Forb or Herb
20021676,19891748,Astragalus sparsiflorus,A,Annual
20021676,19891748,Astragalus sparsiflorus,F,Forb or Herb
20021676,19891748,Astragalus sparsiflorus,A,Annual
20021676,19891748,Astragalus sparsiflorus,F,Forb or Herb
20022449,19892179,Astragalus tener,A,Annual
20022449,19892179,Astragalus tener,F,Forb or Herb
20022879,19892607,Astragalus terminalis,F,Forb or Herb
20024012,19892715,Astragalus whitneyi,F,Forb or Herb
20024357,19892792,Astragalus williamsii,F,Forb or Herb
20025496,19892853,Baptisia sphaerocarpa,F,Forb or Herb
20027617,19891953,Bauhinia purpurea,T,Tree - size unknown
20027617,19891953,Bauhinia purpurea,S,Shrub - size unknown
20028421,19893142,Bauhinia variegata,T,Tree - size unknown
20031740,19893082,Erythrostemon phyllanthoides,S,Shrub - size unknown
20031740,19893082,Erythrostemon phyllanthoides,F,Forb or Herb
20035307,19892974,Canavalia hawaiiensis,V,Vines
20035307,19892974,Canavalia hawaiiensis,F,Forb or Herb
20035815,19892334,Canavalia sericea,L,Lithophyte
20035815,19892334,Canavalia sericea,F,Forb or Herb
20035815,19892334,Canavalia sericea,V,Vines
20037636,19893034,Cercis chinensis,T,Tree - size unknown
20037636,19893034,Cercis chinensis,S,Shrub - size unknown
20038235,19891606,Chamaecrista absus,A,Annual
20038235,19891606,Chamaecrista absus,F,Forb or Herb
20039952,19891928,Chamaecrista lineata,S,Shrub - size unknown
20040380,19893070,Chamaecrista nictitans,A,Annual
20040380,19893070,Chamaecrista nictitans,F,Forb or Herb
20043696,19891909,Coronilla valentina,S,Shrub - size unknown
20047894,19892472,Crotalaria micans,S,Shrub - size unknown
20047894,19892472,Crotalaria micans,F,Forb or Herb
20049942,19891771,Crotalaria pumila,A,Annual
20049942,19891771,Crotalaria pumila,F,Forb or Herb
20050344,19892391,Dalea obovata,A,Annual
20050344,19892391,Dalea obovata,F,Forb or Herb
20050817,19892189,Dalea ornata,F,Forb or Herb
20051146,19891725,Dalea sabinalis,F,Forb or Herb
20051504,19892312,Dalea scandens,S,Shrub - size unknown
20051504,19892312,Dalea scandens,S,Shrub - size unknown
20052492,19892482,Crotalaria rotundifolia,F,Forb or Herb
20054282,19892837,Cytisus striatus,S,Shrub - size unknown
20058096,19892800,Dalea bicolor,S,Shrub - size unknown
20058229,19892761,Dalea compacta,F,Forb or Herb
20058229,19892761,Dalea compacta,F,Forb or Herb
20058877,19893131,Dalea formosa,S,Shrub - size unknown
20059231,19892999,Dalea lasiathera,F,Forb or Herb
20062869,19892387,Desmodium glutinosum,F,Forb or Herb
20063284,19892074,Desmodium grahamii,F,Forb or Herb
20063284,19892074,Desmodium grahamii,V,Vines
20063797,19891529,Desmodium intortum,S,Shrub - size unknown
20063797,19891529,Desmodium intortum,F,Forb or Herb
20063797,19891529,Desmodium intortum,V,Vines
20064340,19892479,Desmodium lindheimeri,F,Forb or Herb
20065589,19891814,Desmodium nuttallii,F,Forb or Herb
20066865,164134,Dichrostachys cinerea,T,Tree - size unknown
20066865,164134,Dichrostachys cinerea,S,Shrub - size unknown
20070381,19891615,Ebenopsis ebano,T,Tree - size unknown
20072331,19891448,Erythrina variegata,T,Tree - size unknown
20073549,19892426,Eysenhardtia polystachya,TL,Tree - large
20073549,19892426,Eysenhardtia polystachya,SL,Shrub - large
20075943,19891674,Gleditsia microphylla,S,Shrub - size unknown
20078436,19892450,Hippocrepis comosa,F,Forb or Herb
20078730,19891635,Hoffmannseggia repens,F,Forb or Herb
20079094,19892492,Lotus aboriginus,F,Forb or Herb
20086067,19892543,Indigofera miniata,S,Shrub - size unknown
20086067,19892543,Indigofera miniata,F,Forb or Herb
20088437,19892008,Indigofera trita,S,Shrub - size unknown
20088437,19892008,Indigofera trita,F,Forb or Herb
20091575,19891627,Lackeya multiflora,S,Shrub - size unknown
20091575,19891627,Lackeya multiflora,V,Vines
20093791,19892702,Lespedeza cuneata,F,Forb or Herb
20094485,19892369,Lespedeza hirta,F,Forb or Herb
20094847,19892863,Lespedeza thunbergii,F,Forb or Herb
20096869,19893055,Lupinus abramsii,SS,Shrub - small
20097017,19892530,Lupinus argenteus,F,Forb or Herb
20097549,19891609,Lupinus breweri,F,Forb or Herb
20097887,19891469,Lupinus diffusus,A,Annual
20097887,19891469,Lupinus diffusus,S,Shrub - size unknown
20097887,19891469,Lupinus diffusus,F,Forb or Herb
20098217,19892176,Lupinus grayi,S,Shrub - size unknown
20098217,19892176,Lupinus grayi,F,Forb or Herb
20098563,19892376,Lupinus kingii,A,Annual
20098563,19892376,Lupinus kingii,F,Forb or Herb
20098908,19892809,Lupinus microcarpus,A,Annual
20098908,19892809,Lupinus microcarpus,F,Forb or Herb
20099277,19893044,Lupinus nootkatensis,F,Forb or Herb
20099428,19891552,Lupinus obtusilobus,F,Forb or Herb
20099770,19893107,Lupinus peirsonii,S,Shrub - size unknown
20099770,19893107,Lupinus peirsonii,F,Forb or Herb
20100330,19891938,Lupinus rivularis,S,Shrub - size unknown
20100330,19891938,Lupinus rivularis,F,Forb or Herb
20100713,19892385,Lupinus texensis,A,Annual
20100713,19892385,Lupinus texensis,S,Shrub - size unknown
20100713,19892385,Lupinus texensis,F,Forb or Herb
20101063,19892533,Lupinus variicolor,S,Shrub - size unknown
20101063,19892533,Lupinus variicolor,F,Forb or Herb
20101361,19891535,Lupinus westianus,A,Annual
20101361,19891535,Lupinus westianus,S,Shrub - size unknown
20101361,19891535,Lupinus westianus,F,Forb or Herb
20101848,19892768,Maackia amurensis,T,Tree - size unknown
20101848,19892768,Maackia amurensis,S,Shrub - size unknown
20104764,19891659,Marina orcuttii,F,Forb or Herb
20105120,19892813,Marina parryi,S,Shrub - size unknown
20113154,19893031,Mimosa wherryana,S,Shrub - size unknown
20115115,19892457,Neonotonia wightii,F,Forb or Herb
20115115,19892457,Neonotonia wightii,V,Vines
20117423,19891743,Oxyrhynchus volubilis,F,Forb or Herb
20117423,19891743,Oxyrhynchus volubilis,V,Vines
20120153,19891888,Oxytropis lambertii,F,Forb or Herb
20126631,19892153,Pediomelum aromaticum,F,Forb or Herb
20127299,19892040,Phaseolus polystachios,F,Forb or Herb
20127299,19892040,Phaseolus polystachios,V,Vines
20129619,19891413,Pomaria jamesii,F,Forb or Herb
20129906,168724,Pongamia pinnata,TS,Tree - small
20131153,19891733,Psoralea esculenta,F,Forb or Herb
20131518,19891913,Psoralea reverchonii,F,Forb or Herb
20132259,19892963,Psorothamnus thompsoniae,S,Shrub - size unknown
20135353,19379374,Rhynchosia minima,F,Forb or Herb
20135353,19379374,Rhynchosia minima,V,Vines
